PCB_ID,ApertureAreaRatio,StencilThickness,ApertureDiameter,PasteVolumePerAperture,PasteRollBeadSize,ResidualPaste,SqueegeePressure,SqueegeeSpeed,SqueegeeAngle,PasteViscosity,TimeAboveLiquidus,AmbientRh,MetalLoad,PeakReflowTemperature,ThermalGradientAcrossBoard,Mechanism Failure Causes,Root Causes,Defect occured,Corrective Actions
PCB17,0.687,0.109,0.336,0.049,3.833,5.002,0.3,54.105,53.999,166.813,60.05,49.686,89.1,251.271,9.886,"Excess Paste volume per aperture, Aperture Overfill","Stencil Thickness too high, squeegee speed too low, squeegee angle too low",Solder Bridging,"Use thinner foil/step-down; reduce aperture size; apply nano-coating , Raise speed into window; balance with pressure/angle, re-tune pressure/speed instead of flattening"
PCB18,0.695,0.104,0.356,0.041,3.651,5.442,0.287,76.299,55.531,156.393,47.92,34.495,89.03,256.924,9.739,,,No,
PCB19,0.664,0.096,0.322,0.044,4.031,4.92,0.32,56.555,60.87,200.469,69.31,34.318,89.458,255.986,8.898,,,No,
PCB20,0.67,0.096,0.359,0.043,4.057,5.01,0.318,57.182,60.475,205.431,55.46,45.898,88.929,254.732,11.845,,,No,
PCB21,0.699,0.104,0.331,0.039,4.355,5.328,0.32,66.476,62.426,224.404,72.18,45.227,88.029,250.543,10.064,,,No,
PCB22,0.671,0.104,0.326,0.048,3.785,4.682,0.3,70.998,60.101,149.127,62.333,43.94,88.265,266.466,9.404,"Excess Paste volume per aperture, Post print spread, Excess Reflow Spreading","peak reflow temperature too high,  low paste viscosity",Solder bridging,"Tune profile; cap peak, Cool paste/stencil; refresh bead; check lot; align mixing practice"
PCB23,0.684,0.1,0.352,0.042,3.876,4.736,0.32,83.487,62.887,157.528,64.89,40.48,88.646,257.816,9.384,,,No,
PCB24,0.678,0.095,0.353,0.042,4.006,5.436,0.32,65.49,61.185,199.176,50.22,41.16,88.166,255.206,10.033,,,No,
PCB25,0.693,0.097,0.345,0.043,4.091,4.692,0.29,82.681,57.136,182.261,75,31.691,89.226,257.207,11.468,,,No,
PCB26,0.667,0.101,0.355,0.044,3.809,4.946,0.32,67.006,62.063,204.653,58.64,46.897,88.654,259.719,10.227,,,No,
PCB27,0.681,0.104,0.36,0.047,3.95,4.536,0.32,66.967,62.3,140.241,62.91,35.144,69.434,253.087,8.988,"Post print spread, Excess Paste volume per aperture","Low Metal content in paste, low paste viscosity",Solder bridging,Replace solder paste batch with verified metal loading (≥88 wt%). Verify storage and handling conditions.
PCB28,0.698,0.103,0.358,0.038,3.893,5.479,0.3,63.886,62.486,170,46.55,30.093,89.324,257.772,10.171,,,No,
PCB29,0.662,0.101,0.329,0.043,3.83,4.509,0.286,75.661,55.786,237.906,67.94,36.752,89.861,250.635,11.937,,,No,
PCB30,0.672,0.104,0.348,0.044,3.836,4.523,0.33,71.8,59.699,243.753,54.38,46.398,89.283,255.321,8.102,,,No,
PCB31,0.666,0.102,0.341,0.042,4.062,4.595,0.32,57.139,63.677,209.001,70.47,40.654,88.671,259.907,10.998,,,No,
PCB32,0.688,0.095,0.352,0.041,3.864,5.426,0.32,82.854,61.614,193.583,47.43,38.735,88.113,230.592,11.307,Non Coalescence,peak reflow temperature too low,Open Circuit,Raise peak within vendor band
PCB33,0.675,0.095,0.336,0.036,3.958,5.188,0.32,75.101,64.324,162.049,49.73,43.275,89.932,258.373,8.943,,,No,
PCB34,0.696,0.103,0.332,0.038,4.119,5.003,0.315,70.093,59.224,153.894,68.91,44.577,88.237,250.599,11.575,,,No,
PCB35,0.669,0.097,0.357,0.036,4.293,5.144,0.301,81.859,60.999,213.963,57.46,33.989,89.341,257.24,9.856,,,No,
PCB36,0.664,0.104,0.328,0.039,4.238,5.292,0.32,69.057,62.509,233.179,74.22,48.627,89.109,251.002,10.034,,,No,
PCB37,0.7,0.1,0.349,0.042,4.35,5.015,0.316,70.593,62.607,223.473,46.37,42.475,89.788,251.138,10.236,,,No,
PCB38,0.676,0.103,0.359,0.043,3.78,4.735,0.32,81.175,64.661,220.769,63.58,32.411,88.563,255.642,9.764,,,No,
PCB39,0.691,0.1,0.34,0.043,4.335,4.703,0.322,62.71,64.721,161.783,71.05,46.736,89.966,257.856,10.499,,,No,
PCB40,0.665,0.103,0.359,0.033,3.945,4.553,0.3,88.456,59.55,217.975,35.01,33.985,88.473,255,9.35,"Insufficient Paste Volume per Aperture, Non Coalescence, Poor paste transfer","squeegee speed too high, time above liquidus too low",Open Circuit,"Lower speed into window; confirm with SPI, Increase TAL per paste spec"
PCB41,0.69,0.1,0.349,0.041,4.023,5.364,0.32,67.534,63.864,226.913,66.48,47.161,89.639,253.323,8.378,,,No,
PCB42,0.684,0.098,0.325,0.043,4.157,4.579,0.288,70.842,56.056,214.684,47.25,44.165,89.747,258.064,11.098,,,No,
PCB43,0.698,0.103,0.327,0.039,4.11,4.668,0.32,56.326,61.18,163.304,72.91,43.734,89.297,256.267,11.362,,,No,
PCB44,0.673,0.099,0.354,0.037,4.185,4.622,0.32,71.029,61.216,197.912,59.84,39.908,88.041,257.88,11.469,,,No,
PCB45,0.686,0.103,0.36,0.039,4.363,5.403,0.308,56.065,60.532,225.543,68.37,30.104,89.082,251.926,9.169,,,No,
PCB46,0.679,0.103,0.331,0.039,4.143,4.73,0.282,77.378,57.25,239.267,53.62,30.036,88.086,252.584,11.962,,,No,
PCB47,0.693,0.099,0.345,0.034,4.066,5.28,0.263,79.127,55.306,177.327,48.28,48.584,88.391,240.982,11.716,"Insufficient Paste Volume per Aperture, Non Coalescence,  Poor paste transfer","squeegee pressure too low, peak reflow temperature too low",Open Circuit,"Increase line load to nominal; verify with transducer, Raise peak within vendor band"
PCB48,0.667,0.1,0.33,0.04,3.859,4.562,0.32,79.931,64.946,154.845,69.74,42.699,89.639,253.421,10.693,,,No,
PCB49,0.662,0.096,0.359,0.04,4.338,5.164,0.301,68.553,60.101,249.146,55.21,30.009,88.051,252.16,9.632,,,No,
PCB50,0.689,0.099,0.341,0.038,3.619,4.769,0.32,57.955,58.263,197.92,47.89,36.293,88.997,258.422,10.247,,,No,
