class_iri,class_label,parent_iri,parent_label,skos:definition,skos:example
https://neurosymbols.ai/ontology/causal-terminology.owl#IonicContaminationSpec,ionic contamination spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'ionic contamination spec' used in process control and acceptance criteria.,"Example: Specification: 'ionic contamination spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#LargeBeadSizeOfSolderPaste,LargeBeadSizeOfSolderPaste,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'LargeBeadSizeOfSolderPaste' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#LowAreaRatio,LowAreaRatio,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'LowAreaRatio' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#LowMetalContent,LowMetalContent,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'LowMetalContent' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#LowPasteViscosity,LowPasteViscosity,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'LowPasteViscosity' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#MaskDamWidth,mask dam width,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'mask dam width' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'mask dam width' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#MaskDamWidthObs,mask dam width obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'mask dam width obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'mask dam width obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#MaskDamWidthSpec,mask dam width spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'mask dam width spec' used in process control and acceptance criteria.,"Example: Specification: 'mask dam width spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#NumberOfBalls,number of balls,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'number of balls' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'number of balls' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#NumberOfBallsObs,number of balls obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'number of balls obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'number of balls obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#NumberOfBallsSpec,number of balls spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'number of balls spec' used in process control and acceptance criteria.,"Example: Specification: 'number of balls spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#PCB,PCB,https://spec.industrialontologies.org/ontology/core/Core/MaterialProduct,material product,"A material product used in assembly: 'PCB', representing the PCB or related product.","Example: PCB assembly 'MainBoard-01' with 6-layer FR4, dimensions 100x80 mm."
https://neurosymbols.ai/ontology/causal-terminology.owl#PadDiameterBga,pad diameter (bga),https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'pad diameter (bga)' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'pad diameter (bga)' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#PadDiameterBgaObs,pad diameter (bga) obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'pad diameter (bga) obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'pad diameter (bga) obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#PadDiameterBgaSpec,pad diameter (bga) spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'pad diameter (bga) spec' used in process control and acceptance criteria.,"Example: Specification: 'pad diameter (bga) spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterCharacteristic,ParameterCharacteristic,https://spec.industrialontologies.org/ontology/core/Core/ProcessCharacteristic,process characteristic,"A manufacturing process step or activity: 'ParameterCharacteristic', describing a stage in PCB assembly.",Example: ReflowSolderingProcess applied profile ramp to peak 245°C for 60s time above liquidus.
https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,https://spec.industrialontologies.org/ontology/core/Core/MeasurementInformationContentEntity,measurement information content entity,"Observed measurement of 'ParameterObservation' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'ParameterObservation' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,http://purl.obolibrary.org/obo/BFO_0000019,quality,A quality parameter describing 'ParameterQuality' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'ParameterQuality' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,https://spec.industrialontologies.org/ontology/core/Core/RequirementSpecification,requirement specification,Specified requirement or acceptable range for 'ParameterSpecification' used in process control and acceptance criteria.,"Example: Specification: 'ParameterSpecification' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#ParticleSizeDistribution,particle size distribution,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'particle size distribution' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'particle size distribution' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#ParticleSizeDistributionObs,particle size distribution obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'particle size distribution obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'particle size distribution obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#ParticleSizeDistributionSpec,particle size distribution spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'particle size distribution spec' used in process control and acceptance criteria.,"Example: Specification: 'particle size distribution spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteMetalLoad,paste metal load,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'paste metal load' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'paste metal load' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteMetalLoadObs,paste metal load obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'paste metal load obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'paste metal load obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteMetalLoadSpec,paste metal load spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'paste metal load spec' used in process control and acceptance criteria.,"Example: Specification: 'paste metal load spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteOpenLifeTemp,paste open-life temp,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'paste open-life temp' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'paste open-life temp' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteOpenLifeTempObs,paste open-life temp obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'paste open-life temp obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'paste open-life temp obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteOpenLifeTempSpec,paste open-life temp spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'paste open-life temp spec' used in process control and acceptance criteria.,"Example: Specification: 'paste open-life temp spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteOpenLifeTime,paste open-life time,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'paste open-life time' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'paste open-life time' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteOpenLifeTimeObs,paste open-life time obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'paste open-life time obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'paste open-life time obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteOpenLifeTimeSpec,paste open-life time spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'paste open-life time spec' used in process control and acceptance criteria.,"Example: Specification: 'paste open-life time spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteShelfLifeTemp,paste shelf-life temp,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'paste shelf-life temp' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'paste shelf-life temp' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteShelfLifeTempObs,paste shelf-life temp obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'paste shelf-life temp obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'paste shelf-life temp obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteShelfLifeTempSpec,paste shelf-life temp spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'paste shelf-life temp spec' used in process control and acceptance criteria.,"Example: Specification: 'paste shelf-life temp spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteShelfLifeTime,paste shelf-life time,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'paste shelf-life time' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'paste shelf-life time' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteShelfLifeTimeObs,paste shelf-life time obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'paste shelf-life time obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'paste shelf-life time obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteShelfLifeTimeSpec,paste shelf-life time spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'paste shelf-life time spec' used in process control and acceptance criteria.,"Example: Specification: 'paste shelf-life time spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteViscosity,paste viscosity,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'paste viscosity' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'paste viscosity' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteViscosityObs,paste viscosity obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'paste viscosity obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'paste viscosity obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#PasteViscositySpec,paste viscosity spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'paste viscosity spec' used in process control and acceptance criteria.,"Example: Specification: 'paste viscosity spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#PeakReflowTemperature,PeakReflowTemperature,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'PeakReflowTemperature' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#PostPrintSpread,PostPrintSpread,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'PostPrintSpread' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#ReflowSolderingProcess,ReflowSolderingProcess,https://spec.industrialontologies.org/ontology/core/Core/ManufacturingProcess,manufacturing process,"A manufacturing process step or activity: 'ReflowSolderingProcess', describing a stage in PCB assembly.",Example: ReflowSolderingProcess applied profile ramp to peak 245°C for 60s time above liquidus.
https://neurosymbols.ai/ontology/causal-terminology.owl#ResidualPasteVolume,ResidualPasteVolume,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'ResidualPasteVolume' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#RootCause,RootCause,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'RootCause' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#SolderAlloy,solder alloy,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'solder alloy' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'solder alloy' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#SolderAlloyObs,solder alloy obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'solder alloy obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'solder alloy obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#SolderAlloySpec,solder alloy spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'solder alloy spec' used in process control and acceptance criteria.,"Example: Specification: 'solder alloy spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#SolderBallHeight,solder ball height,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'solder ball height' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'solder ball height' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#SolderBallHeightObs,solder ball height obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'solder ball height obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'solder ball height obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#SolderBallHeightSpec,solder ball height spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'solder ball height spec' used in process control and acceptance criteria.,"Example: Specification: 'solder ball height spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#SolderBridging,SolderBridging,https://neurosymbols.ai/ontology/causal-terminology.owl#Defect,Defect,A physical defect class representing 'SolderBridging' observed on the assembled board or component.,Example: Solder bridging detected between adjacent pins of an SOIC during ICT testing.
https://neurosymbols.ai/ontology/causal-terminology.owl#SolderPrintingProcess,SolderPrintingProcess,https://spec.industrialontologies.org/ontology/core/Core/ManufacturingProcess,manufacturing process,"A manufacturing process step or activity: 'SolderPrintingProcess', describing a stage in PCB assembly.",Example: ReflowSolderingProcess applied profile ramp to peak 245°C for 60s time above liquidus.
https://neurosymbols.ai/ontology/causal-terminology.owl#SqueegeeAngleTooLow,SqueegeeAngleTooLow,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'SqueegeeAngleTooLow' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#SqueegeePressureTooHigh,SqueegeePressureTooHigh,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'SqueegeePressureTooHigh' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#SqueegeeSpeedTooLow,SqueegeeSpeedTooLow,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'SqueegeeSpeedTooLow' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#StencilCoplanarity,stencil coplanarity,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'stencil coplanarity' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'stencil coplanarity' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#StencilCoplanarityObs,stencil coplanarity obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'stencil coplanarity obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'stencil coplanarity obs' = 0.63 for board serial BRD-1001 during print step.
