class_label,parent_label,skos:definition,skos:example,preferred_units,test_method,range_min,range_max,normative_reference,normative_notes
ComponentPlacementProcess,manufacturing process,Automated or manual operation that picks packaged components and places them onto printed solder paste or adhesive at specified positions and orientations.,High-speed mounter places 0402 passives and a fine-pitch QFP within ±50 µm accuracy.,N/A,Machine capability & process validation,,,IPC-9850 (Placement Equip. Characterization),
ConformanceAssessment,Activity,Planned evaluation to determine whether a product or process meets stated requirements or standards.,First-article inspection comparing solder paste SPI data and placement Cpk to the build spec.,N/A,Planned inspection/test per acceptance criteria,,,IPC-A-610 (Acceptability of Electronic Assemblies); J-STD-001,
CorrectiveAction,action specification,"An authorized, documented action plan intended to eliminate the root cause of a detected nonconformity and prevent recurrence.",Reduce stencil thickness from 120 µm to 100 µm and update print parameters to eliminate bridging on 0.4 mm pitch BGA.,N/A,8D/Corrective Action procedure,,,Internal QMS/8D; ISO 9001 Corrective Action,
Defect,specifically dependent continuant,"A nonconforming material or process state that degrades functionality, reliability, or compliance (e.g., opens, shorts, voids).",Solder bridge shorting pins 17–18 of a QFP device.,N/A,Inspection per acceptance standard,,,IPC-A-610 (Acceptability of Electronic Assemblies),
Effect,specifically dependent continuant,An observable outcome or state resulting from a cause or set of causes in manufacturing or use.,Head-in-pillow (effect) resulting from warpage mismatch and insufficient time above liquidus.,N/A,Causal analysis output,,,,
ExcessPasteVolumePerAperture,FailureCause,"Condition where a single stencil aperture deposits more paste than intended due to oversize aperture, double-printing, or paste scooping.","A misprogrammed double print increases deposit volume by ~60% on 0.5 mm pitch pads, leading to bridges.",% vs nominal,SPI transfer efficiency/volume,,,IPC-7525 (Stencil Design Guidelines),Typical TE target ≥80–100%
ExcessReflowSpreading,FailureCause,"Solder wetting and flow beyond pad boundaries during reflow, often driven by high peak temperature, overly active flux, or low mask dam.","On a QFN, solder spreads 150 µm into the solder mask channel and creates a short to the adjacent pad.",mm (over-spread),AOI/post-reflow measurement,,,IPC-7530 (Temperature Profiling for Mass Soldering),
FailureCause,specifically dependent continuant,"A factor, parameter excursion, or condition that can produce a defect or undesired effect when realized in a process.",Low area ratio in stencil apertures causing insufficient paste release and opens.,N/A,FA/DOE/5-Why,,,,
HighHumidity,FailureCause,"Ambient relative humidity above the allowed range for solder paste handling or storage, promoting slump, oxidation, and inconsistent printing.","Printing at 70% RH causes paste to slump between 0.4 mm pitch pads, increasing bridging defects.",%RH,Calibrated hygrometer; data logger,30,60,Manufacturer datasheet; internal process spec (environmental controls),Typical print-floor control 30–60% RH
ionic contamination,ParameterQuality,"Amount of ionizable residues on a PCB assembly, typically expressed as µg NaCl equivalent per unit area and measured by ROSE or ion chromatography.",ROSE test result: 0.80 µg NaCl eq/in² after reflow.,µg NaCl equivalent / cm² (or in²),ROSE or Ion Chromatography,,,IPC-TM-650 2.3.25 (ROSE); IPC-TM-650 2.3.28 (Ion Chromatography); J-STD-001 (Cleanliness),
ionic contamination obs,ParameterObservation,"A measured ionic contamination value for a specific unit, lot, or panel.",Panel 12C: 0.62 µg NaCl eq/in² (pass).,µg NaCl equivalent / cm² (or in²),ROSE per 2.3.25 or IC per 2.3.28,,,IPC-TM-650 2.3.25 (ROSE); IPC-TM-650 2.3.28 (Ion Chromatography); J-STD-001 (Cleanliness),
ionic contamination spec,ParameterSpecification,The maximum allowable ionic contamination for a product under specified test conditions.,Spec: ≤1.00 µg NaCl eq/in² per internal cleanliness requirement.,µg NaCl equivalent / cm² (or in²),ROSE/IC against limit,,1,IPC-TM-650 2.3.25 (ROSE); IPC-TM-650 2.3.28 (Ion Chromatography); J-STD-001 (Cleanliness),Example limit ≤1.00 µg NaCl eq/in²
LargeBeadSizeOfSolderPaste,FailureCause,"Formation of large solder beads adjacent to chip components after reflow, typically due to excess paste volume, low paste viscosity, or inadequate aperture design.",0402 resistors exhibit beads >0.3 mm on the component side after reflow.,mm (bead diameter),AOI/Microscope after reflow,,,IPC-A-610 (Acceptability of Electronic Assemblies),Minimize visible solder balls/beads per A-610 guidance
LowAreaRatio,FailureCause,"Aperture area ratio below recommended threshold, causing poor paste release and under-deposits or clogged apertures.",AAR=0.55 on 0.30×0.15 mm apertures in a 0.10 mm stencil results in insufficient solder and opens.,ratio (unitless),Calculated AAR below threshold,,0.66,IPC-7525 (Stencil Design Guidelines),
LowMetalContent,FailureCause,"Solder paste metal load below specification, increasing slump and solder balling while reducing final joint volume.",Paste measured at 86 wt% metal vs. spec 88–90 wt% leads to solder beading on 0603s.,wt% metal,Per J-STD-005 metal content test; gravimetric,,88,J-STD-005 (Requirements for Soldering Pastes),Below 88 wt% considered low for stencil printing
LowPasteViscosity,FailureCause,"Paste viscosity below the required range, often causing excessive post-print spread, bridging, or poor aperture filling.","Viscosity 120 Pa·s (Malcom, 25 °C, 10 rpm) vs. spec 160–220 Pa·s; bridges observed on 0.5 mm pitch.",Pa·s,Rotational viscometer (Malcom/Brookfield) at set speed/temp,,140,J-STD-005 (Requirements for Soldering Pastes),Below typical lower bound causes spread
mask dam width,ParameterQuality,"Width of solder mask web between adjacent exposed copper pads, controlling solder spread and electrical clearance.","Between two 0.5 mm pitch QFP pads, the mask dam width is 75 µm.",µm,Optical microscope; CAM data,,,IPC-7351 (SM Design and Land Pattern); IPC-2221,
mask dam width obs,ParameterObservation,A measured mask web width between specific pads on a PCB.,Measured under microscope: mask dam = 80 µm (meets ≥75 µm requirement).,µm,Optical microscope,,,IPC-7351 (SM Design and Land Pattern); IPC-2221,
mask dam width spec,ParameterSpecification,The minimum allowable solder mask dam width for a design feature.,Spec: mask dam width ≥75 µm for 0.5 mm pitch devices.,µm,Design rule/CAM check,75,,IPC-7351 (SM Design and Land Pattern); IPC-2221,
number of balls,ParameterQuality,Count of solder balls on a BGA or WLCSP package.,Package has 256 balls arranged in a 16×16 array with corner balls depopulated.,count,Datasheet; X-ray/AOI,,,IPC-7095 (BGA Design & Assembly),
number of balls obs,ParameterObservation,An observed count of balls present on a specific device or lot.,X-ray inspection confirms 256 balls; no missing balls detected.,count,X-ray/AOI,,,IPC-7095 (BGA Design & Assembly),
number of balls spec,ParameterSpecification,The required ball count per package type and pinout.,Spec: 256 balls; any deviation is not acceptable.,count,Package pinout spec,256,256,IPC-7095 (BGA Design & Assembly),Exact count required for package
PCB,material product,Printed Circuit Board substrate and interconnect structure onto which components are assembled.,"Four-layer FR-4 PCB, 1.6 mm thick, ENIG finish, green solder mask.",N/A,Material and fab certs,,,IPC-6012 (Rigid); IPC-4101 (Base Materials),
pad diameter (bga),ParameterQuality,Diameter of a circular BGA land on the PCB.,"For 0.40 mm pitch BGA, pad diameter = 0.22 mm (NSMD).",mm,Optical microscope; CAM data,,,IPC-7351 (SM Design and Land Pattern),
pad diameter (bga) obs,ParameterObservation,A measured diameter of a specific BGA land on the PCB.,Optical measurement: pad diameter = 0.218 mm.,mm,Optical microscope,,,IPC-7351 (SM Design and Land Pattern),
pad diameter (bga) spec,ParameterSpecification,The required diameter and tolerance for BGA lands on the PCB.,Spec: 0.20–0.23 mm for 0.40 mm pitch NSMD pads.,mm,Design rule/CAM check,0.2,0.23,IPC-7351 (SM Design and Land Pattern),
ParameterCharacteristic,process characteristic,"A named attribute of a process parameter that can be specified, controlled, and measured (e.g., speed, pressure, temperature).","In stencil printing, squeegee speed and pressure are controlled ParameterCharacteristics.",N/A,Process characterization,,,,
ParameterObservation,measurement information content entity,"An information record capturing the measured value(s), method, unit, and context for a specific parameter.","SPI report entry: paste volume = 350 nL, threshold = ±15%, board SN 12345.",N/A,Measurement record structure,,,,
ParameterQuality,quality,"A measurable attribute that inheres in a material, component, or process (e.g., thickness, viscosity, diameter).",Stencil thickness and paste viscosity are ParameterQualities.,N/A,Attribute definition,,,,
ParameterSpecification,requirement specification,"A requirement that constrains an attribute or parameter by target, tolerance, range, unit, and test method.","Spec: stencil thickness 100 µm ±5 µm, measured per optical micrometer method.",N/A,Requirements definition,,,,
particle size distribution,ParameterQuality,"Distribution of solder powder particle sizes in a paste, often summarized by D10/D50/D90 and classified by IPC types (e.g., Type 4).","Type 4 powder: ~20–38 µm with D50 ≈ 28 µm, verified by laser diffraction.",µm (D10/D50/D90),Laser diffraction per supplier/ISO 13320,,,J-STD-005 (Requirements for Soldering Pastes),
particle size distribution obs,ParameterObservation,A measured particle size distribution for a specific solder paste lot.,"Lot SP-22: D10=20 µm, D50=28 µm, D90=37 µm (Type 4).",µm (D10/D50/D90),Laser diffraction certificate,,,J-STD-005 (Requirements for Soldering Pastes),
particle size distribution spec,ParameterSpecification,The required particle size distribution/classification for solder paste.,Spec: Type 4 per J-STD-005—90% between 20–38 µm.,µm class,Conformance to J-STD-005 Type,20,38,J-STD-005 (Requirements for Soldering Pastes),Aligned to J‑STD‑005 Type 4 example
paste metal load,ParameterQuality,"Mass fraction of metal in a solder paste (wt%), affecting deposit volume, slump, and reflow behavior.",A no-clean SAC305 paste with 88.5 wt% metal load.,wt% metal,Gravimetric per J-STD-005,,,J-STD-005 (Requirements for Soldering Pastes),
paste metal load obs,ParameterObservation,A measured metal content for a specific solder paste lot.,Lot SP-22 measured at 88.3 wt% metal.,wt% metal,Gravimetric per J-STD-005,,,J-STD-005 (Requirements for Soldering Pastes),
paste metal load spec,ParameterSpecification,The required metal content for a solder paste formulation.,Spec: 88–90 wt% metal for stencil printing process window.,wt% metal,Gravimetric per J-STD-005,88,90,J-STD-005 (Requirements for Soldering Pastes),
paste open-life temp,ParameterQuality,Ambient temperature range within which an opened solder paste can remain in use on the printer without degradation.,Recommended open-life temperature: 20–25 °C on the print floor.,°C,Ambient monitoring,,,Manufacturer datasheet; internal process spec (environmental controls),
paste open-life temp obs,ParameterObservation,Recorded ambient temperature during a paste open-life interval.,Run logged at 23 °C ±1 °C during an 8-hour open-life window.,°C,Ambient monitoring,,,Manufacturer datasheet; internal process spec (environmental controls),
paste open-life temp spec,ParameterSpecification,The allowable ambient temperature range for paste open-life.,Spec: 20–25 °C during use; excursions outside range end the open-life.,°C,Ambient control per paste datasheet,20,25,Manufacturer datasheet; internal process spec (environmental controls),
paste open-life time,ParameterQuality,Maximum time an opened paste may remain in use before disposal or remix/requalification.,Typical open-life: 8 hours on the printer at 23 °C.,hours,Runtime logging,,,Manufacturer datasheet; internal process spec (environmental controls),
paste open-life time obs,ParameterObservation,Recorded duration of paste exposure on the printer for a specific run.,Paste jar in use for 6.5 hours (within 8-hour limit).,hours,Runtime logging,,,Manufacturer datasheet; internal process spec (environmental controls),
paste open-life time spec,ParameterSpecification,The allowable maximum time for paste usage after opening under specified conditions.,Spec: ≤8 hours at 20–25 °C; beyond this requires paste replacement.,hours,Paste datasheet limit,,8,Manufacturer datasheet; internal process spec (environmental controls),
paste shelf-life temp,ParameterQuality,Storage temperature range for sealed solder paste to maintain performance until expiry.,Refrigerated storage at 0–10 °C per supplier datasheet.,°C,Refrigerated storage monitoring,,,J-STD-005 (Requirements for Soldering Pastes),
paste shelf-life temp obs,ParameterObservation,Recorded storage temperature for a specific paste lot during shelf life.,Data logger shows 5 °C ±2 °C for the entire storage period.,°C,Data logger,,,J-STD-005 (Requirements for Soldering Pastes),
paste shelf-life temp spec,ParameterSpecification,Required storage temperature range for sealed paste before opening.,Spec: 0–10 °C; do not freeze.,°C,Paste datasheet requirement,0,10,J-STD-005 (Requirements for Soldering Pastes),
paste shelf-life time,ParameterQuality,Time interval from manufacture during which sealed paste is expected to meet specification when stored properly.,Shelf life: 6 months from date of manufacture at 0–10 °C.,months,Age from DOM,,,J-STD-005 (Requirements for Soldering Pastes),
paste shelf-life time obs,ParameterObservation,Recorded age of a paste lot at the time of use or inspection.,Lot SP-22 is 4.2 months old—within 6‑month shelf life.,months,Age at use,,,J-STD-005 (Requirements for Soldering Pastes),
paste shelf-life time spec,ParameterSpecification,"Maximum allowable time from manufacture for sealed paste, under specified storage conditions.",Spec: ≤6 months at 0–10 °C.,months,Paste datasheet requirement,,6,J-STD-005 (Requirements for Soldering Pastes),
paste viscosity,ParameterQuality,"Resistance of solder paste to flow under shear, commonly measured with a rotational viscometer (e.g., Malcom) at specified speed and temperature.",165 Pa·s at 25 °C and 10 rpm on a Malcom viscometer.,Pa·s,Malcom/Brookfield rotational viscometer at specified rpm and 25°C,,,J-STD-005 (Requirements for Soldering Pastes),
paste viscosity obs,ParameterObservation,A measured viscosity value for a specific paste lot under specified test conditions.,"Lot SP-22: 170 Pa·s (Malcom, 25 °C, 10 rpm).",Pa·s,Malcom/Brookfield at specified rpm and 25°C,,,J-STD-005 (Requirements for Soldering Pastes),
paste viscosity spec,ParameterSpecification,Required viscosity range and test method for a solder paste.,"Spec: 140–220 Pa·s at 25 °C, 10 rpm (Malcom).",Pa·s,Per J-STD-005 method/conditions,140,220,J-STD-005 (Requirements for Soldering Pastes),
PeakReflowTemperature,FailureCause,"Peak reflow temperature out of the qualified window (too high or too low), resulting in poor wetting, excessive spread, or flux exhaustion.",Measured peak 255–260 °C for SAC305 causes over‑spreading and discoloration on thin boards.,°C,Thermocouple profiling (multi-TS),235,250,IPC-7530 (Temperature Profiling for Mass Soldering); JEDEC J-STD-020,SAC305 typical window; outside is a FailureCause
PostPrintSpread,FailureCause,"Increase in solder paste footprint dimensions after printing but before reflow due to low viscosity, high humidity, or long wait time.","Within 10 minutes of print, deposits extend ~75 µm beyond pad edges on 0.5 mm pitch QFP pads.",µm increase vs. pad,Timed post-print measurement; microscope/SPI,,,IPC-7525 (Stencil Design Guidelines),
ReflowSolderingProcess,manufacturing process,"Thermal process that melts solder paste and forms metallurgical joints according to a defined temperature profile (preheat, soak, reflow, cool).","Forced‑convection reflow with SAC305: TAL 60–90 s, peak 245 °C, ramp 1 °C/s.",N/A,Profile development per IPC-7530,,,IPC-7530 (Temperature Profiling for Mass Soldering),
ResidualPasteVolume,FailureCause,"Solder paste remaining in the stencil aperture after the print stroke, reducing transfer efficiency and causing under‑deposits.",SPI indicates 75% transfer efficiency on fine‑pitch pads; 25% residual paste visible in apertures.,% transfer efficiency,SPI transfer efficiency,80,,SPI method per equipment vendor,Typical TE target ≥80% for fine pitch
RootCause,FailureCause,"The most fundamental, addressable cause of a problem which, if corrected, prevents recurrence.",Investigation shows squeegee angle at 45° was the root cause of widespread bridging; corrected to 60°.,N/A,Root cause analysis/8D,,,Internal QMS/8D; ISO 9001 Corrective Action,
solder alloy,ParameterQuality,"The metallic composition of solder (e.g., Sn–Ag–Cu) used to form joints.",SAC305 (Sn96.5/Ag3.0/Cu0.5) for lead‑free reflow.,wt% composition / designation,Supplier CoA; XRF verification,,,J-STD-006 (Electronic Grade Solder Alloys),
solder alloy obs,ParameterObservation,Recorded alloy designation/composition for a specific paste or solder form.,Lot SP-22: SAC305 confirmed by CoA.,wt% composition / designation,Supplier CoA; XRF,,,J-STD-006 (Electronic Grade Solder Alloys),
solder alloy spec,ParameterSpecification,Required alloy family and grade for a given assembly process.,Spec: Use SAC305 or SAC405 per customer requirement; no SnPb allowed.,wt% composition / designation,Per assembly spec,,,J-STD-006 (Electronic Grade Solder Alloys),Allowed: SAC305 or SAC405 example
solder ball height,ParameterQuality,"Height of a BGA/WLCSP solder ball above the package substrate or the final stand‑off after reflow, depending on context.",Post‑reflow stand‑off measured at 0.28 mm for a 0.30 mm ball BGA.,mm,X-ray/Confocal; CMM,,,IPC-7095 (BGA Design & Assembly),
solder ball height obs,ParameterObservation,Measured solder ball height/stand‑off for a specific device or solder joint.,X‑ray metrology: stand‑off 0.275–0.285 mm across the BGA field.,mm,X-ray metrology,,,IPC-7095 (BGA Design & Assembly),
solder ball height spec,ParameterSpecification,Required solder ball height or stand‑off range under defined reflow conditions.,Spec: 0.27–0.31 mm post‑reflow stand‑off for 0.30 mm balls.,mm,Per package/reflow condition,0.27,0.31,IPC-7095 (BGA Design & Assembly),
SolderBridging,Defect,Unintended solder connection that electrically shorts adjacent conductive features after reflow.,Bridge between pins 17–18 on a 0.5 mm pitch QFP causes ICT failure.,N/A,AOI/ICT detection,,,IPC-A-610 (Acceptability of Electronic Assemblies),
SolderPrintingProcess,manufacturing process,"Process that transfers solder paste through a stencil onto PCB lands using a squeegee under controlled speed, pressure, and angle.","Printing with 100 µm stainless stencil, 60° polyurethane squeegee, 40 mm/s, 5 kgf pressure.",N/A,Stencil printing per IPC-7525,,,IPC-7525 (Stencil Design Guidelines),
SqueegeeAngleTooLow,FailureCause,"Squeegee blade angle below the qualified range (e.g., <55–60°), promoting paste scooping and excess deposition.",Angle set to 45° results in thick deposits and bridging on fine‑pitch features.,degrees,Printer setup record; inclinometer,55,65,IPC-7525 (Stencil Design Guidelines),Typical operating range 55–65°; too low increases scooping
SqueegeePressureTooHigh,FailureCause,"Squeegee pressure above the qualified window, causing stencil wear, understencil leakage, and smeared deposits.",Pressure increased to 7 kgf causes paste bleed‑out under the stencil and shorts on QFN pads.,N/A,Printer setup record,,,IPC-7525 (Stencil Design Guidelines),Absolute pressure depends on blade width; monitor for understencil leakage
SqueegeeSpeedTooLow,FailureCause,"Squeegee traverse speed below the qualified range, increasing paste dwell time and risk of over‑filling apertures.",Reducing speed from 50 mm/s to 15 mm/s leads to over‑deposits on 0.5 mm pitch pads.,mm/s,Printer setup record,30,80,IPC-7525 (Stencil Design Guidelines),Typical window 30–80 mm/s; too low increases overfill
stencil coplanarity,ParameterQuality,Flatness of the stencil underside relative to the PCB surface during printing; non‑coplanarity introduces variable gasket gaps.,"Underside gap up to 0.03 mm observed at board corner, causing thin deposits there.",mm gap,Feeler gauge; foil flatness map,,,Internal printer setup spec,
stencil coplanarity obs,ParameterObservation,Measured deviation from planarity between stencil underside and PCB surface.,Feeler gauge shows 0.02–0.03 mm gap at the rear edge of the print window.,mm gap,Feeler gauge,,,Internal printer setup spec,
stencil coplanarity spec,ParameterSpecification,Allowable maximum gasket gap/flatness deviation across the print area.,Spec: ≤0.05 mm gap anywhere within the print window.,mm gap,Setup verification,,0.05,Internal printer setup spec,
stencil thickness,ParameterQuality,Nominal thickness of the printing stencil material.,100 µm stainless steel stencil used for mixed‑technology build.,µm,Micrometer/foil gauge,,,IPC-7525 (Stencil Design Guidelines),
stencil thickness obs,ParameterObservation,Measured stencil thickness at a specific location.,Micrometer reading: 99.6–100.4 µm across the panel area.,µm,Micrometer/foil gauge,,,IPC-7525 (Stencil Design Guidelines),
stencil thickness spec,ParameterSpecification,Required stencil thickness and tolerance for the job or aperture region (including step‑downs/ups if any).,Spec: 100 µm ±5 µm; step‑down to 80 µm in the BGA field.,µm,Stencil fab drawing/spec,95,105,IPC-7525 (Stencil Design Guidelines),Example spec 100 µm ±5 µm; local step-downs may apply
StencilThicknessTooHigh,FailureCause,"Use of a stencil thickness above the qualified value for fine‑pitch features, leading to excessive paste volume and bridging.",150 µm stencil used with 0.40 mm pitch BGA results in frequent shorts.,µm,N/A,,,IPC-7525 (Stencil Design Guidelines),
ThermalGradientAcrossBoard,FailureCause,"Temperature difference across regions of a PCB during reflow, causing uneven wetting, skew, tombstoning, or variable voiding.",ΔT ≈ 25 °C between center and edge at peak leads to tombstoning of 0402 parts near the edge.,°C (ΔT),Multi-thermocouple profiling,,15,IPC-7530 (Temperature Profiling for Mass Soldering),Typical target ΔT ≤ 10–15 °C at peak
TimeAboveLiquidus,FailureCause,"Duration that solder remains above its liquidus temperature outside the qualified window (too short or too long), affecting wetting and intermetallic growth.","Profile shows TAL ≈ 120 s for SAC305 (too long), causing excessive spread and IMC thickening.",seconds,Profile analysis (T>liquidus),45,90,IPC-7530 (Temperature Profiling for Mass Soldering); JEDEC J-STD-020,SAC305 typical TAL window
